URL,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/luton-vs-burnley/03-10-2023/2139437,Regular goal,1-2,Jacob Bruun Larsen,85,0
https://www.xscores.com/soccer/match/chelsea-vs-luton/25-08-2023/2139451,Regular goal,1-0,Raheem Sterling,17,0
https://www.xscores.com/soccer/match/chelsea-vs-luton/25-08-2023/2139451,Regular goal,2-0,Raheem Sterling,68,0
https://www.xscores.com/soccer/match/chelsea-vs-luton/25-08-2023/2139451,Regular goal,3-0,Nicolas Jackson,75,0
https://www.xscores.com/soccer/match/bournemouth-vs-tottenham/26-08-2023/2139442,Regular goal,0-1,James Maddison,17,0
https://www.xscores.com/soccer/match/bournemouth-vs-tottenham/26-08-2023/2139442,Regular goal,0-2,Dejan Kulusevski,63,0
https://www.xscores.com/soccer/match/arsenal-vs-fulham/26-08-2023/2139455,Regular goal,0-1,Andreas Pereira,1,0
https://www.xscores.com/soccer/match/arsenal-vs-fulham/26-08-2023/2139455,Penalty,1-1,Bukayo Saka,70,0
https://www.xscores.com/soccer/match/arsenal-vs-fulham/26-08-2023/2139455,Regular goal,2-1,Edward Nketiah,72,0
https://www.xscores.com/soccer/match/arsenal-vs-fulham/26-08-2023/2139455,Regular goal,2-2,Joao Palhinha,87,0
https://www.xscores.com/soccer/match/brentford-vs-crystal-palace/26-08-2023/2139454,Regular goal,1-0,Kevin Schade,18,0
https://www.xscores.com/soccer/match/brentford-vs-crystal-palace/26-08-2023/2139454,Regular goal,1-1,Joachim Andersen,76,0
https://www.xscores.com/soccer/match/everton-vs-wolverhampton/26-08-2023/2139450,Regular goal,0-1,Sasa Kalajdzic,87,0
https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/26-08-2023/2139449,Regular goal,0-1,Taiwo Awoniyi,2,0
https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/26-08-2023/2139449,Regular goal,0-2,Willy Boly,4,0
https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/26-08-2023/2139449,Regular goal,1-2,Christian Eriksen,17,0
https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/26-08-2023/2139449,Regular goal,2-2,Casemiro,52,0
https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/26-08-2023/2139449,Penalty,3-2,Bruno Fernandes,76,0
https://www.xscores.com/soccer/match/brighton-vs-west-ham/26-08-2023/2139453,Regular goal,0-1,James Ward-Prowse,19,0
https://www.xscores.com/soccer/match/brighton-vs-west-ham/26-08-2023/2139453,Regular goal,0-2,Jarrod Bowen,58,0
https://www.xscores.com/soccer/match/brighton-vs-west-ham/26-08-2023/2139453,Regular goal,0-3,Michail Antonio,63,0
https://www.xscores.com/soccer/match/brighton-vs-west-ham/26-08-2023/2139453,Regular goal,1-3,Pascal Gross,81,0
https://www.xscores.com/soccer/match/burnley-vs-aston-villa/27-08-2023/2139452,Regular goal,0-1,Matty Cash,8,0
https://www.xscores.com/soccer/match/burnley-vs-aston-villa/27-08-2023/2139452,Regular goal,0-2,Matty Cash,20,0
https://www.xscores.com/soccer/match/burnley-vs-aston-villa/27-08-2023/2139452,Regular goal,1-2,Lyle Foster,47,0
https://www.xscores.com/soccer/match/burnley-vs-aston-villa/27-08-2023/2139452,Regular goal,1-3,Moussa Diaby,61,0
https://www.xscores.com/soccer/match/sheffield-united-vs-manchester-city/27-08-2023/2139447,Regular goal,0-1,Erling Haaland,63,0
https://www.xscores.com/soccer/match/sheffield-united-vs-manchester-city/27-08-2023/2139447,Regular goal,1-1,Jayden Bogle,85,0
https://www.xscores.com/soccer/match/sheffield-united-vs-manchester-city/27-08-2023/2139447,Regular goal,1-2,Rodri,88,0
https://www.xscores.com/soccer/match/newcastle-vs-liverpool/27-08-2023/2139448,Regular goal,1-0,Anthony Gordon,25,0
https://www.xscores.com/soccer/match/newcastle-vs-liverpool/27-08-2023/2139448,Regular goal,1-1,Darwin Nunez,81,0
https://www.xscores.com/soccer/match/newcastle-vs-liverpool/27-08-2023/2139448,Regular goal,1-2,Darwin Nunez,90,3
https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470,Regular goal,0-1,Jarrod Bowen,37,0
